,abbreviation,at_bats,average_batter_age,average_pitcher_age,away_losses,away_record,away_wins,balks,bases_on_balls,bases_on_walks_given,bases_on_walks_given_per_nine_innings,batters_faced,batting_average,complete_game_shutouts,complete_games,doubles,earned_runs_against,earned_runs_against_plus,extra_inning_losses,extra_inning_record,extra_inning_wins,fielding_independent_pitching,games,games_finished,grounded_into_double_plays,hit_pitcher,hits,hits_allowed,hits_per_nine_innings,home_losses,home_record,home_runs,home_runs_against,home_runs_per_nine_innings,home_wins,innings_pitched,intentional_bases_on_balls,interleague_record,last_ten_games_record,last_thirty_games_record,last_twenty_games_record,league,losses,losses_last_ten_games,losses_last_thirty_games,losses_last_twenty_games,losses_vs_left_handed_pitchers,losses_vs_right_handed_pitchers,losses_vs_teams_over_500,losses_vs_teams_under_500,luck,name,number_of_pitchers,number_players_used,on_base_percentage,on_base_plus_slugging_percentage,on_base_plus_slugging_percentage_plus,opposing_runners_left_on_base,plate_appearances,pythagorean_win_loss,rank,record_vs_left_handed_pitchers,record_vs_right_handed_pitchers,record_vs_teams_over_500,record_vs_teams_under_500,run_difference,runners_left_on_base,runs,runs_against,runs_allowed_per_game,runs_batted_in,sacrifice_flies,sacrifice_hits,saves,shutouts,simple_rating_system,single_run_losses,single_run_record,single_run_wins,slugging_percentage,stolen_bases,streak,strength_of_schedule,strikeouts,strikeouts_per_base_on_balls,strikeouts_per_nine_innings,times_caught_stealing,times_hit_by_pitch,times_struck_out,total_bases,total_runs,triples,whip,wild_pitches,win_percentage,wins,wins_last_ten_games,wins_last_thirty_games,wins_last_twenty_games,wins_vs_left_handed_pitchers,wins_vs_right_handed_pitchers,wins_vs_teams_over_500,wins_vs_teams_under_500
PIT,PIT,5542,28.9,28.6,41,40-41,40,7,561,533,3.3,6292,0.257,1,5,277,4.21,99,5,8-5,8,4.3,162,157,133,81,1426,1490,9.2,42,38-42,153,180,1.1,38,1450.2,39,9-11,,,,NL,83,,,,9,74,45,38,0,Pittsburgh Pirates,32,55,0.332,0.734,96,1182,6261,78-83,18,20-9,58-74,32-45,46-38,-0.2,1173,4.5,4.7,4.68,696,36,41,51,5,-0.2,21,20-21,20,0.402,110,,-0.1,1232,2.31,7.6,45,81,1334,2226,729,32,1.395,71,0.484,78,,,,20,58,32,46
CHW,CHW,5550,28.3,28.6,48,33-48,33,2,455,521,3.2,6196,0.257,1,7,277,4.1,99,7,8-7,8,4.27,162,155,122,53,1428,1422,8.8,36,45-36,168,185,1.2,45,1446.2,16,9-11,,,,AL,84,,,,18,66,61,23,0,Chicago White Sox,28,50,0.317,0.727,99,1141,6131,78-84,19,20-18,58-66,51-61,27-23,-0.2,1105,4.2,4.4,4.41,656,44,29,43,10,-0.1,29,23-29,23,0.41,77,,0.1,1270,2.44,7.9,36,53,1285,2275,686,33,1.343,72,0.481,78,,,,20,58,51,27
COL,COL,5614,27.8,27.7,48,33-48,33,5,494,547,3.4,6289,0.275,2,2,318,4.91,99,6,3-6,3,4.38,162,160,113,40,1544,1532,9.6,39,42-39,204,181,1.1,42,1429.1,35,9-11,,,,NL,87,,,,29,58,40,47,-5,Colorado Rockies,25,47,0.336,0.794,97,1141,6236,80-82,20,19-29,56-58,40-40,35-47,-0.1,1089,5.2,5.3,5.31,805,34,54,37,9,-0.2,20,12-20,12,0.457,66,,-0.1,1223,2.24,7.7,39,40,1330,2568,845,47,1.455,72,0.463,75,,,,19,56,40,35
LAA,LAA,5431,28.5,28.4,47,34-47,34,10,471,498,3.2,6120,0.26,3,4,279,4.28,94,4,0-4,0,4.62,162,158,147,51,1410,1480,9.4,41,40-41,156,208,1.3,40,1421.1,21,9-11,,,,AL,88,,,,22,66,68,20,-6,Los Angeles Angels,30,53,0.322,0.726,100,1129,6041,80-82,21,21-22,53-66,46-68,28-20,-0.1,1037,4.4,4.5,4.49,686,49,36,29,12,0.1,20,17-20,17,0.405,73,,0.2,1136,2.28,7.2,34,51,991,2197,717,20,1.392,47,0.457,74,,,,21,53,46,28
MIL,MIL,5330,27.5,28.1,49,32-49,32,2,599,532,3.3,6188,0.244,0,0,249,4.08,105,9,4-9,4,4.37,162,162,131,37,1299,1450,9.1,40,41-40,194,178,1.1,41,1434.1,34,11-9,,,,NL,89,,,,19,70,46,43,-1,Milwaukee Brewers,27,50,0.322,0.729,92,1152,6061,74-88,22,30-19,43-70,27-46,46-43,-0.4,1071,4.1,4.5,4.52,641,39,53,46,7,-0.5,28,23-28,23,0.407,181,,-0.1,1175,2.21,7.4,56,37,1543,2168,671,19,1.382,48,0.451,73,,,,30,43,27,46
PHI,PHI,5434,26.9,26.3,47,34-47,34,9,424,466,2.9,6164,0.24,3,4,231,4.63,91,6,7-6,7,4.34,162,158,112,58,1305,1468,9.2,44,37-44,161,213,1.3,37,1437.0,33,11-9,,,,NL,91,,,,17,74,49,42,9,Philadelphia Phillies,27,49,0.301,0.685,82,1057,5992,62-100,23,17-17,54-74,27-49,44-42,-1.1,1043,3.8,4.9,4.91,574,30,46,43,12,-1.3,23,28-23,28,0.384,96,,-0.1,1299,2.79,8.1,45,58,1376,2089,610,35,1.346,57,0.438,71,,,,17,54,27,44
ARI,ARI,5665,26.7,26.4,45,36-45,36,7,463,603,3.7,6437,0.261,2,2,285,5.09,88,8,8-8,8,4.5,162,160,117,50,1479,1563,9.7,48,33-48,190,202,1.3,33,1451.1,43,5-15,,,,NL,93,,,,22,71,52,41,0,Arizona Diamondbacks,29,50,0.32,0.752,93,1193,6260,69-93,24,23-22,46-71,30-52,39-41,-0.9,1113,4.6,5.5,5.49,709,38,43,31,7,-0.9,17,22-17,22,0.432,137,,0.0,1318,2.19,8.2,31,50,1427,2446,752,56,1.492,69,0.426,69,,,,23,46,30,39
OAK,OAK,5500,28.7,27.9,46,35-46,35,3,442,464,2.9,6144,0.246,1,2,270,4.51,91,5,6-5,6,4.24,162,160,142,33,1352,1459,9.2,47,34-47,169,185,1.2,34,1433.1,19,7-13,,,,AL,93,,,,26,67,64,29,-1,Oakland Athletics,27,51,0.304,0.699,91,1083,6022,70-92,25,16-26,53-67,49-64,20-29,-0.7,1036,4.0,4.7,4.7,634,34,13,42,7,-0.5,28,25-28,25,0.395,50,,0.2,1188,2.56,7.5,23,33,1145,2171,653,21,1.342,70,0.426,69,,,,16,53,49,20
ATL,ATL,5514,28.9,26.4,43,37-43,37,4,502,547,3.4,6250,0.255,1,1,295,4.51,92,11,11-11,11,4.32,161,160,145,59,1404,1414,8.8,50,31-50,122,177,1.1,31,1447.2,60,8-12,,,,NL,93,,,,31,62,49,44,1,Atlanta Braves,35,60,0.321,0.705,89,1128,6192,67-94,26,16-31,52-62,27-49,41-44,-0.8,1160,4.0,4.8,4.84,615,52,64,39,9,-0.9,22,21-22,21,0.384,75,,-0.1,1227,2.24,7.6,34,59,1240,2119,649,27,1.355,83,0.422,68,,,,16,52,27,41
SDP,SDP,5419,28.1,28.1,52,29-52,29,3,449,569,3.6,6228,0.235,0,1,257,4.43,90,6,6-6,6,4.4,162,161,93,58,1275,1425,8.9,42,39-42,177,183,1.1,39,1440.0,30,6-14,,,,NL,94,,,,22,72,50,44,-4,San Diego Padres,32,58,0.299,0.689,86,1138,6001,72-90,27,21-22,47-72,32-50,36-44,-0.5,965,4.2,4.8,4.75,654,36,36,35,9,-0.6,31,19-31,19,0.39,125,,-0.1,1222,2.15,7.6,45,58,1500,2115,686,26,1.385,67,0.42,68,,,,21,47,32,36
CIN,CIN,5487,27.8,27.1,51,30-51,30,12,452,636,4.0,6348,0.256,1,2,277,4.91,87,10,3-10,3,5.24,162,160,129,52,1403,1457,9.1,43,38-43,164,258,1.6,38,1442.0,37,5-15,,,,NL,94,,,,20,74,54,40,0,Cincinnati Reds,32,52,0.316,0.724,91,1168,6094,68-94,28,14-20,54-74,24-54,44-40,-0.9,1014,4.4,5.3,5.27,678,44,58,28,8,-0.8,27,22-27,22,0.408,139,,0.0,1241,1.95,7.7,51,52,1284,2238,716,33,1.451,61,0.42,68,,,,14,54,24,44
TBR,TBR,5481,27.7,26.9,49,32-49,32,7,449,491,3.1,6076,0.243,1,1,288,4.2,96,3,4-3,4,4.26,162,161,88,69,1333,1395,8.8,45,36-45,216,210,1.3,36,1426.1,20,10-10,,,,AL,94,,,,26,68,74,20,-9,Tampa Bay Rays,25,48,0.307,0.733,100,1084,6046,77-85,29,18-26,50-68,47-74,21-20,-0.3,1060,4.1,4.4,4.4,647,28,18,42,8,0.0,27,13-27,13,0.426,60,,0.3,1357,2.76,8.6,37,69,1482,2333,672,32,1.322,61,0.42,68,,,,18,50,47,21
MIN,MIN,5618,26.9,28.3,52,29-52,29,7,513,479,3.0,6314,0.251,1,4,288,5.08,83,10,6-10,6,4.57,162,158,96,44,1409,1617,10.1,51,30-51,200,221,1.4,30,1443.0,24,8-12,,,,AL,103,,,,25,78,75,28,-7,Minnesota Twins,29,49,0.316,0.738,98,1096,6245,66-96,30,21-25,38-78,35-75,24-28,-1.0,1124,4.5,5.5,5.49,690,43,27,26,3,-0.9,29,15-29,15,0.421,91,,0.1,1191,2.49,7.4,32,44,1426,2367,722,35,1.453,83,0.364,59,,,,21,38,35,24
